Number of Lines,Sorted Data Insert;Search;Remove,Reversed Data Insert;Search;Remove,Shuffled Data Insert;Search;Remove
10,349700;108000;287900,511900;105100;163400,143100;117300;190900
25,338200;279100;766200,103300;185400;157200,145400;113700;191400
50,378600;857400;542500,197300;138000;247900,238800;163000;299100
100,827500;692600;599900,247800;154400;337900,569200;500200;386500
150,937700;507300;637600,281600;233900;495500,348500;272900;521300
200,962000;973000;869600,423900;337800;742300,482700;332300;719200
250,1441700;904300;919600,495800;1086300;924300,515600;432000;839200
300,2194000;851900;1695900,1150200;1131100;749400,1007600;553400;1485000
350,2298500;958600;1434900,616200;613800;1280400,884900;869100;1246700
392,3118200;1024200;2699300,1964100;2719600;2190000,1069100;1257100;3772900
